L1,L2,L3
1.General Threat Detection,1.5.Network Detection and Response,Network : Unauthorized/Risky Application Usage
1.General Threat Detection,1.5.Network Detection and Response,Network : Blacklisted Country Activity
1.General Threat Detection,1.5.Network Detection and Response,Network : Non-Whitelisted Country Activity
1.General Threat Detection,1.5.Network Detection and Response,Network : Non-HTTP Traffic Over Port 80
1.General Threat Detection,1.5.Network Detection and Response,Network : Network Monitor Activity Past 30 Minutes
3.NIST CSF Compliance,ID.AM-4,CCF: Account Modification Inv
3.NIST CSF Compliance,ID.AM-4,CCF: Applications Accessed By User Inv
3.NIST CSF Compliance,ID.AM-4,CCF: Audit Log Inv
3.NIST CSF Compliance,ID.AM-4,CCF: Compromises Detected Inv
3.NIST CSF Compliance,ID.AM-4,CCF: Deleted Account Inv
3.NIST CSF Compliance,ID.AM-4,CCF: Disabled Account Inv
3.NIST CSF Compliance,ID.AM-4,CCF: Enabled Account Inv
3.NIST CSF Compliance,ID.AM-4,CCF: Excessive Authentication Failure Inv
3.NIST CSF Compliance,ID.AM-4,CCF: GeoIP Inv
3.NIST CSF Compliance,ID.AM-4,CCF: Host Access Granted And Revoked Inv
3.NIST CSF Compliance,ID.AM-4,CCF: LogRhythm Data Loss Defender Log Inv
3.NIST CSF Compliance,ID.AM-4,CCF: Malware Detected Inv
3.NIST CSF Compliance,ID.AM-4,CCF: Object Access Inv
3.NIST CSF Compliance,ID.AM-4,CCF: Password Modification Inv
3.NIST CSF Compliance,ID.AM-4,CCF: Rogue Access Point Inv
3.NIST CSF Compliance,ID.AM-4,CCF: Suspected Wireless Attack Inv
3.NIST CSF Compliance,ID.AM-4,CCF: Suspicious Users Inv
3.NIST CSF Compliance,ID.AM-4,CCF: Unknown User Account Inv
3.NIST CSF Compliance,ID.AM-4,CCF: Use Of Non-Encrypted Protocols Inv
3.NIST CSF Compliance,ID.AM-4,CCF: User Object Access Inv
3.NIST CSF Compliance,ID.AM-4,CCF: Vulnerability Detected Inv
3.NIST CSF Compliance,ID.AM-5,CCF: Account Modification Inv
3.NIST CSF Compliance,ID.AM-5,CCF: Applications Accessed By User Inv
3.NIST CSF Compliance,ID.AM-5,CCF: Audit Log Inv
