L1,L2,L3
1.General Threat Detection,1.1.Core Threat Detection,Compromise: Distributed Brute Force
1.General Threat Detection,1.1.Core Threat Detection,Recon: Failed Distributed Account Probe
1.General Threat Detection,1.1.Core Threat Detection,Lateral: External Attack then Account Creation
1.General Threat Detection,1.1.Core Threat Detection,Attainment: Log Cleared
1.General Threat Detection,1.1.Core Threat Detection,Lateral: Privilege Escalation after Attack
1.General Threat Detection,1.1.Core Threat Detection,Lateral: Internal Attack then Account Creation
1.General Threat Detection,1.1.Core Threat Detection,Compromise: Malware Outbreak
1.General Threat Detection,1.1.Core Threat Detection,C2: Malware: Outbound IRC
1.General Threat Detection,1.1.Core Threat Detection,Lateral: Internal Recon then Account Creation
1.General Threat Detection,1.1.Core Threat Detection,Recon: Excessive HTTP Errors
1.General Threat Detection,1.1.Core Threat Detection,Recon: Metasploit Activity Observed
1.General Threat Detection,1.1.Core Threat Detection,Compromise: Inbound RDP/VNC
1.General Threat Detection,1.1.Core Threat Detection,C2: Excessive Outbound Firewall Denies
1.General Threat Detection,1.1.Core Threat Detection,Lateral: Password Modified by Admin
1.General Threat Detection,1.1.Core Threat Detection,Lateral: Admin Password Modified
1.General Threat Detection,1.1.Core Threat Detection,Recon: Multiple Lockouts
1.General Threat Detection,1.1.Core Threat Detection,C2: Attack then Outbound Connection
1.General Threat Detection,1.1.Core Threat Detection,Corruption: Audit Disabled by Admin
1.General Threat Detection,1.1.Core Threat Detection,Lateral: Locally Created and Used
1.General Threat Detection,1.1.Core Threat Detection,Exfil: Lateral Movement then Exfil
1.General Threat Detection,1.1.Core Threat Detection,C2: Port Misuse: 53
1.General Threat Detection,1.1.Core Threat Detection,Exfiltration: Large Outbound Transfer
1.General Threat Detection,1.1.Core Threat Detection,Recon: Excessive Inbound Firewall Denies
1.General Threat Detection,1.1.Core Threat Detection,Compromise: Repeated Attacks Against Host
1.General Threat Detection,1.1.Core Threat Detection,C2: External DNS Server Used
1.General Threat Detection,1.1.Core Threat Detection,Compromise: Malware Not Cleaned
1.General Threat Detection,1.1.Core Threat Detection,Compromise: Obsolete SSL/TLS Version
1.General Threat Detection,1.2.Attack Lifecycle Progression,Progression: to Initial Compromise
1.General Threat Detection,1.2.Attack Lifecycle Progression,Progression: to Command and Control
1.General Threat Detection,1.2.Attack Lifecycle Progression,Progression: to Lateral Movement
1.General Threat Detection,1.2.Attack Lifecycle Progression,Progression: to Target Attainment
1.General Threat Detection,1.2.Attack Lifecycle Progression,"Progression: to Exfil, Corruption, Disruption"
1.General Threat Detection,1.2.Attack Lifecycle Progression,Progression: to Initial Compromise
1.General Threat Detection,1.2.Attack Lifecycle Progression,Progression: to Command and Control
1.General Threat Detection,1.2.Attack Lifecycle Progression,Progression: to Lateral Movement
1.General Threat Detection,1.2.Attack Lifecycle Progression,Progression: to Target Attainment
1.General Threat Detection,1.2.Attack Lifecycle Progression,"Progression: to Exfil, Corruption, Disruption"
1.General Threat Detection,1.2.Attack Lifecycle Progression,Progression: to Initial Compromise
1.General Threat Detection,1.2.Attack Lifecycle Progression,Progression: to Command and Control
1.General Threat Detection,1.2.Attack Lifecycle Progression,Progression: to Lateral Movement
1.General Threat Detection,1.2.Attack Lifecycle Progression,Progression: to Target Attainment
1.General Threat Detection,1.2.Attack Lifecycle Progression,"Progression: to Exfil, Corruption, Disruption"
1.General Threat Detection,1.3.Current Active Threat,CAT : Canary List Rule : Hash Value
1.General Threat Detection,1.3.Current Active Threat,CAT : Canary List Rule : IP Address (Impacted)
1.General Threat Detection,1.3.Current Active Threat,CAT : Canary List Rule : IP Address (Origin)
1.General Threat Detection,1.3.Current Active Threat,CAT : Canary List Rule : Process Name
1.General Threat Detection,1.3.Current Active Threat,CAT : Canary List Rule : Process Path
1.General Threat Detection,1.3.Current Active Threat,CAT : Canary List Rule : Registry Key
1.General Threat Detection,1.3.Current Active Threat,CAT : Canary List Rule : Domain (Impacted)
1.General Threat Detection,1.3.Current Active Threat,CAT : Canary List Rule : Domain (Origin)
1.General Threat Detection,1.3.Current Active Threat,CAT : Severity Increase : 2 Hits from Unique Canary Lists
1.General Threat Detection,1.3.Current Active Threat,CAT : Severity Increase : 3 Hits from Any Canary List
1.General Threat Detection,1.3.Current Active Threat,CAT : Severity Increase : 3 Hits from Unique Canary Lists
1.General Threat Detection,1.3.Current Active Threat,CAT : Severity Increase : 4 Hits from Any Canary List
1.General Threat Detection,1.3.Current Active Threat,CAT : Severity Increase : 4 Hits from Unique Canary Lists
1.General Threat Detection,1.3.Current Active Threat,CAT : Severity Increase : 5 Hits from Any Canary List
1.General Threat Detection,1.3.Current Active Threat,CAT : Severity Increase : 5 Hits from Unique Canary Lists
1.General Threat Detection,1.3.Current Active Threat,CAT : Severity Increase : 6 Hits from Any Canary List
1.General Threat Detection,1.4.User and Entity Behavior Analytics,Attainment: Abnormal File Access
1.General Threat Detection,1.4.User and Entity Behavior Analytics,Attainment: Corroborated Account Anomalies
1.General Threat Detection,1.4.User and Entity Behavior Analytics,C2: Abnormal Origin Location
1.General Threat Detection,1.4.User and Entity Behavior Analytics,Compromise: Abnormal Process Activity
1.General Threat Detection,1.4.User and Entity Behavior Analytics,C2: Blacklist Location Auth
1.General Threat Detection,1.4.User and Entity Behavior Analytics,Compromise: Concurrent VPN from Multiple Locations
1.General Threat Detection,1.4.User and Entity Behavior Analytics,Recon: Linux sudo Privilege Escalation
1.General Threat Detection,1.4.User and Entity Behavior Analytics,Compromise: Windows RunAs Privilege Escalation
1.General Threat Detection,1.4.User and Entity Behavior Analytics,Compromise: Auth After Numerous Failed Auths
1.General Threat Detection,1.4.User and Entity Behavior Analytics,Compromise: Auth After Security Event
1.General Threat Detection,1.4.User and Entity Behavior Analytics,Compromise: Distributed Brute Force
1.General Threat Detection,1.4.User and Entity Behavior Analytics,Compromise: External Brute Force Auths
1.General Threat Detection,1.4.User and Entity Behavior Analytics,Compromise: Lateral Movement With Account Sweep
1.General Threat Detection,1.4.User and Entity Behavior Analytics,Corruption: Audit Disabled by Admin
