L1,L2,L3
1.General Threat Detection,1.1.Core Threat Detection,Account Management Activity
1.General Threat Detection,1.1.Core Threat Detection,Top Attackers Summary
1.General Threat Detection,1.5.Network Detection and Response,Network : Top 10 Domains
1.General Threat Detection,1.5.Network Detection and Response,Network : Top 10 Applications
1.General Threat Detection,1.5.Network Detection and Response,Network : Top 10 Hostnames (Impacted)
1.General Threat Detection,1.5.Network Detection and Response,Network : Top 10 Hostnames (Origin)
1.General Threat Detection,1.5.Network Detection and Response,Network : Unauthorized/Risky Application Usage
1.General Threat Detection,1.5.Network Detection and Response,Rogue Host Detection Summary
1.General Threat Detection,1.5.Network Detection and Response,Summary Of AI Engine Events
1.General Threat Detection,1.5.Network Detection and Response,Top Attackers Summary
2.IT Operations,2.1.IT Ops,Report summarizes all IT Operations Module AI Engine Alarm Activity
2.IT Operations,2.1.IT Ops,Report summarizes all Windows bugcheck reboots by host
3.NIST CSF Compliance,ID.AM-4,CCF: Access Failure Summary
3.NIST CSF Compliance,ID.AM-4,CCF: Access Success Summary
3.NIST CSF Compliance,ID.AM-4,CCF: Account Deleted Summary
3.NIST CSF Compliance,ID.AM-4,CCF: Account Disabled Summary
3.NIST CSF Compliance,ID.AM-4,CCF: Account Enabled Summary
3.NIST CSF Compliance,ID.AM-4,CCF: Account Modification Summary
3.NIST CSF Compliance,ID.AM-4,CCF: Applications Accessed By User Summary
3.NIST CSF Compliance,ID.AM-4,CCF: Audit Log Summary
3.NIST CSF Compliance,ID.AM-4,CCF: Auth Failure Summary
3.NIST CSF Compliance,ID.AM-4,CCF: Auth Success Summary
3.NIST CSF Compliance,ID.AM-4,CCF: Config/Policy Change Summary
3.NIST CSF Compliance,ID.AM-4,CCF: Critical Environment Error Summary
3.NIST CSF Compliance,ID.AM-4,CCF: GeoIP Summary
3.NIST CSF Compliance,ID.AM-4,CCF: Host Access Granted And Revoked Detail
3.NIST CSF Compliance,ID.AM-4,CCF: LogRhythm Data Loss Defender Log Summary
3.NIST CSF Compliance,ID.AM-4,CCF: Malware Detected Summary
3.NIST CSF Compliance,ID.AM-4,CCF: Object Access Summary
3.NIST CSF Compliance,ID.AM-4,CCF: Rogue Access Point Summary
3.NIST CSF Compliance,ID.AM-4,CCF: Suspected Wireless Attack Summary
3.NIST CSF Compliance,ID.AM-4,CCF: Term Account Activity Summary
3.NIST CSF Compliance,ID.AM-4,CCF: Top Suspicious Users
3.NIST CSF Compliance,ID.AM-4,CCF: Unknown User Account Detail
3.NIST CSF Compliance,ID.AM-4,CCF: Use Of Non-Encrypted Protocols Summary
3.NIST CSF Compliance,ID.AM-4,CCF: User Object Access Summary
3.NIST CSF Compliance,ID.AM-4,CCF: Vulnerability Detected Summary
3.NIST CSF Compliance,ID.AM-5,CCF: Access Failure Summary
3.NIST CSF Compliance,ID.AM-5,CCF: Access Success Summary
3.NIST CSF Compliance,ID.AM-5,CCF: Account Deleted Summary
3.NIST CSF Compliance,ID.AM-5,CCF: Account Disabled Summary
3.NIST CSF Compliance,ID.AM-5,CCF: Account Enabled Summary
3.NIST CSF Compliance,ID.AM-5,CCF: Account Modification Summary
3.NIST CSF Compliance,ID.AM-5,CCF: Applications Accessed By User Summary
3.NIST CSF Compliance,ID.AM-5,CCF: Audit Log Summary
3.NIST CSF Compliance,ID.AM-5,CCF: Auth Failure Summary
3.NIST CSF Compliance,ID.AM-5,CCF: Auth Success Summary
3.NIST CSF Compliance,ID.AM-5,CCF: Backup Activity Summary
3.NIST CSF Compliance,ID.AM-5,CCF: Compromises Detected Summary
3.NIST CSF Compliance,ID.AM-5,CCF: Config/Policy Change Summary
3.NIST CSF Compliance,ID.AM-5,CCF: Critical Environment Error Summary
3.NIST CSF Compliance,ID.AM-5,CCF: GeoIP Summary
3.NIST CSF Compliance,ID.AM-5,CCF: Host Access Granted And Revoked Detail
3.NIST CSF Compliance,ID.AM-5,CCF: LogRhythm Data Loss Defender Log Summary
3.NIST CSF Compliance,ID.AM-5,CCF: Malware Detected Summary
